Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
Republic of Korea funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Republic of Korea,Government,Republic of Korea,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"1,500,000.00",2021,0.00,"1,500,000.00",USD
Rockefeller Foundation funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Rockefeller Foundation,Organization,Rockefeller Foundation,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"2,475,248.00",2021,0.00,"2,475,248.00",USD
Sao Tome and Principe funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Sao Tome and Principe,Government,Sao Tome and Principe,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"1,311,947.00",2021,0.00,"1,311,947.00",USD
Sao Tome and Principe funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Sao Tome and Principe,Government,Sao Tome and Principe,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"705,685.00",2021,0.00,"705,685.00",USD
Secretariat of the Pacific Community funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,The Pacific Community (SPC),Organization,The Pacific Community (SPC),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"500,000.00",2021,0.00,"500,000.00",USD
Spain funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Spain,Government,Spain,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"3,562,945.00",2020,0.00,"3,562,945.00",USD
Spain funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Spain,Government,Spain,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"3,926,380.00",2021,0.00,"3,926,380.00",USD
Susan Thompson Buffett Foundation funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Susan Thompson Buffett Foundation,Organization,Susan Thompson Buffett Foundation,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"5,000,000.00",2021,0.00,"5,000,000.00",USD
Sweden funds Global Fund for COVID-19 Response,EIU Tracker 03-Aug-2021,R.4,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Direct financial support,2021,,"11,000,000.00",2021,0.00,"11,000,000.00",USD
Sweden funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"593,250.00",2021,0.00,"593,250.00",USD
Swedish International Development Cooperation Agency funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden (Swedish International Development Cooperation Agency),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"7,100,000.00",2020,0.00,"7,100,000.00",USD
Switzerland funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Switzerland,Government,Switzerland,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"2,100,198.00",2021,0.00,"2,100,198.00",USD
Switzerland funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Switzerland,Government,Switzerland,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"2,684,927.00",2020,0.00,"2,684,927.00",USD
Thailand funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Thailand,Government,Thailand,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"100,000.00",2021,0.00,"100,000.00",USD
Thailand funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Thailand,Government,Thailand,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"50,000.00",2020,0.00,"50,000.00",USD
Transfer Wise funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Wise,Organization,Wise,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,,"5,000,000.00",2021,0.00,"5,000,000.00",USD
UN CERF funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Central Emergency Response Fund (UN CERF)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"499,984.00",2021,0.00,"499,984.00",USD
UNDP Multi-Partner Trust Fund (MPTF) funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"11,413,756.00",2020,0.00,"11,413,756.00",USD
UNDP Multi-Partner Trust Fund (MPTF) funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"817,912.00",2021,0.00,"817,912.00",USD
UNDP funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"12,155,665.00",2020,0.00,"12,155,665.00",USD
UNDP funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"7,079,206.00",2021,0.00,"7,079,206.00",USD
UNDP/UNOSSC funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for South-South Cooperation (UNOSSC)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"968,845.00",2020,0.00,"968,845.00",USD
UNFCU Foundation funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,UN Federal Credit Union Foundation,Organization,UN Federal Credit Union Foundation,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"76,497.00",2020,0.00,"76,497.00",USD
UNICEF funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"3,008,047.00",2020,0.00,"3,008,047.00",USD
UNICEF funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"557,042.00",2021,0.00,"557,042.00",USD
UNOCHA funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for the Coordination of Humanitarian Affairs (OCHA)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"5,099,541.00",2021,0.00,"5,099,541.00",USD
United Kingdom funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"456,170.00",2021,0.00,"456,170.00",USD
United Nations Agencies (Miscellaneous) funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"139,697.00",2021,0.00,"139,697.00",USD
United Nations Population Fund (UNFPA) funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Population Fund (UNFPA)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"111,400.00",2021,0.00,"111,400.00",USD
United Nations Population Fund (UNFPA) funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Population Fund (UNFPA)),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"6,571,445.00",2020,0.00,"6,571,445.00",USD
United States funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"1,000,000.00",2021,0.00,"1,000,000.00",USD
Vital Strategies funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Vital Strategies/Resolve to Save Lives,Organization,Vital Strategies/Resolve to Save Lives,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,,"1,251,380.00",2021,0.00,"1,251,380.00",USD
World Bank/PAF funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,,"35,962,670.00",2020,0.00,"35,962,670.00",USD
The EU's Response to COVID-19,European Union Question and Answers 24 February 2020,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,China,Government,China,In-kind support,2020,,n/a (in-kind support),2020,0.00,n/a (in-kind support),USD
Global Fund approves flexibilities in Afghanistan grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Afghanistan,Government,Afghanistan,Direct financial support,2020,,"993,696.00",2020,0.00,"993,696.00",USD
Global Fund approves flexibilities in Albania grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Albania,Government,Albania,Direct financial support,2020,,"80,400.00",2020,0.00,"80,400.00",USD
Global Fund approves flexibilities in Algeria grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Algeria,Government,Algeria,Direct financial support,2020,,"362,446.00",2020,0.00,"362,446.00",USD
Global Fund approves flexibilities in Angola grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Angola,Government,Angola,Direct financial support,2020,,"1,581,988.00",2020,0.00,"1,581,988.00",USD
Global Fund approves flexibilities in Armenia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Armenia,Government,Armenia,Direct financial support,2020,,"115,370.00",2020,0.00,"115,370.00",USD
Global Fund approves flexibilities in Azerbaijan grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Azerbaijan,Government,Azerbaijan,Direct financial support,2020,,"119,040.00",2020,0.00,"119,040.00",USD
Global Fund approves flexibilities in Bangladesh grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Bangladesh,Government,Bangladesh,Direct financial support,2020,,"8,591,538.00",2020,0.00,"8,591,538.00",USD
Global Fund approves flexibilities in Belarus grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Belarus,Government,Belarus,Direct financial support,2020,,"766,071.00",2020,0.00,"766,071.00",USD
Global Fund approves flexibilities in Belize grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Belize,Government,Belize,Direct financial support,2020,,"27,622.00",2020,0.00,"27,622.00",USD
Global Fund approves flexibilities in Benin grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Benin,Government,Benin,Direct financial support,2020,,"392,770.00",2020,0.00,"392,770.00",USD
Global Fund approves flexibilities in Bhutan grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Bhutan,Government,Bhutan,Direct financial support,2020,,"177,203.00",2020,0.00,"177,203.00",USD
Global Fund approves flexibilities in Bolivia (Plurinational State) grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Bolivia,Government,Bolivia,Direct financial support,2020,,"321,662.00",2020,0.00,"321,662.00",USD
Global Fund approves flexibilities in Botswana grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Botswana,Government,Botswana,Direct financial support,2020,,"532,000.00",2020,0.00,"532,000.00",USD
Global Fund approves flexibilities in Burkina Faso grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Burkina Faso,Government,Burkina Faso,Direct financial support,2020,,"3,616,990.00",2020,0.00,"3,616,990.00",USD
Global Fund approves flexibilities in Burundi grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Burundi,Government,Burundi,Direct financial support,2020,,"1,010,732.00",2020,0.00,"1,010,732.00",USD
Global Fund approves flexibilities in Cabo Verde grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Cabo Verde,Government,Cabo Verde,Direct financial support,2020,,"153,323.00",2020,0.00,"153,323.00",USD
Global Fund approves flexibilities in Cambodia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Cambodia,Government,Cambodia,Direct financial support,2020,,"520,604.00",2020,0.00,"520,604.00",USD
Global Fund approves flexibilities in Cameroon grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Cameroon,Government,Cameroon,Direct financial support,2020,,"4,503,350.00",2020,0.00,"4,503,350.00",USD
Global Fund approves flexibilities in Central African Republic grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Central African Republic,Government,Central African Republic,Direct financial support,2020,,"997,856.00",2020,0.00,"997,856.00",USD
Global Fund approves flexibilities in Chad grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Chad,Government,Chad,Direct financial support,2020,,"1,962,150.00",2020,0.00,"1,962,150.00",USD
Global Fund approves flexibilities in Colombia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Colombia,Government,Colombia,Direct financial support,2020,,"453,217.00",2020,0.00,"453,217.00",USD
Global Fund approves flexibilities in Comoros grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Comoros,Government,Comoros,Direct financial support,2020,,"123,853.00",2020,0.00,"123,853.00",USD
Global Fund approves flexibilities in Congo grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Congo,Government,Congo,Direct financial support,2020,,"1,298,625.00",2020,0.00,"1,298,625.00",USD
Global Fund approves flexibilities in Costa Rica grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Costa Rica,Government,Costa Rica,Direct financial support,2020,,"28,000.00",2020,0.00,"28,000.00",USD
Global Fund approves flexibilities in Cuba grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Cuba,Government,Cuba,Direct financial support,2020,,"624,912.00",2020,0.00,"624,912.00",USD
Global Fund approves flexibilities in Côte d'Ivoire grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Cote d'Ivoire,Government,Cote d'Ivoire,Direct financial support,2020,,"3,458,816.00",2020,0.00,"3,458,816.00",USD
Global Fund approves flexibilities in Djibouti grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Djibouti,Government,Djibouti,Direct financial support,2020,,"326,034.00",2020,0.00,"326,034.00",USD
Global Fund approves flexibilities in Dominican Republic grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Dominican Republic,Government,Dominican Republic,Direct financial support,2020,,"503,446.00",2020,0.00,"503,446.00",USD
Global Fund approves flexibilities in Ecuador grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Ecuador,Government,Ecuador,Direct financial support,2020,,"144,046.00",2020,0.00,"144,046.00",USD
Global Fund approves flexibilities in Egypt grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Egypt,Government,Egypt,Direct financial support,2020,,"70,454.00",2020,0.00,"70,454.00",USD
Global Fund approves flexibilities in El Salvador grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",El Salvador,Government,El Salvador,Direct financial support,2020,,"1,028,711.00",2020,0.00,"1,028,711.00",USD
Global Fund approves flexibilities in Ethiopia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Ethiopia,Government,Ethiopia,Direct financial support,2020,,"4,626,923.00",2020,0.00,"4,626,923.00",USD
Global Fund approves flexibilities in Gambia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Gambia,Government,Gambia,Direct financial support,2020,,"296,785.00",2020,0.00,"296,785.00",USD
Global Fund approves flexibilities in Georgia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Georgia,Government,Georgia,Direct financial support,2020,,"484,500.00",2020,0.00,"484,500.00",USD
Global Fund approves flexibilities in Ghana grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Ghana,Government,Ghana,Direct financial support,2020,,"2,856,341.00",2020,0.00,"2,856,341.00",USD
Global Fund approves flexibilities in Guatemala grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Guatemala,Government,Guatemala,Direct financial support,2020,,"2,247,225.00",2020,0.00,"2,247,225.00",USD
Global Fund approves flexibilities in Guinea grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Guinea,Government,Guinea,Direct financial support,2020,,"2,739,192.00",2020,0.00,"2,739,192.00",USD
Global Fund approves flexibilities in Guinea-Bissau grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Guinea Bissau,Government,Guinea Bissau,Direct financial support,2020,,"864,094.00",2020,0.00,"864,094.00",USD
Global Fund approves flexibilities in Haiti grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Haiti,Government,Haiti,Direct financial support,2020,,"2,824,706.00",2020,0.00,"2,824,706.00",USD
Global Fund approves flexibilities in Honduras grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Honduras,Government,Honduras,Direct financial support,2020,,"669,811.00",2020,0.00,"669,811.00",USD
Global Fund approves flexibilities in India grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",India,Government,India,Direct financial support,2020,,"6,920,426.00",2020,0.00,"6,920,426.00",USD
Global Fund approves flexibilities in Indonesia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Indonesia,Government,Indonesia,Direct financial support,2020,,"12,875,059.00",2020,0.00,"12,875,059.00",USD
Global Fund approves flexibilities in Kazakhstan grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Kazakhstan,Government,Kazakhstan,Direct financial support,2020,,"624,093.00",2020,0.00,"624,093.00",USD
